Club_Club,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK_Unnamed: 24_level_1,Temporada
Siena,26,113,1737,580,2457,158,502,140,-14,2155,223,950,452,210,11,2822,213,255,1367,484,41,212,188,,2018
Monza,26,103,1666,606,2305,163,447,158,-12,1888,177,799,505,267,17,2566,162,215,1256,489,43,247,240,,2018
Milano,26,103,1677,618,2279,157,453,152,-13,1870,155,886,394,211,13,2713,188,223,1308,482,41,212,206,,2018
Verona,26,103,1644,610,2276,137,369,133,-10,1873,141,867,441,235,16,2629,170,232,1233,469,40,274,266,,2018
Vibo Valentia,26,99,1492,464,2107,127,483,128,-17,1930,176,803,508,263,17,2536,217,196,1182,466,38,183,185,,2018
Castellana Grotte New Mater,26,104,1526,505,2209,101,378,97,-13,2013,243,810,513,255,13,2681,244,230,1213,452,36,212,204,,2018
Cisterna Top Volley,26,99,1512,494,2164,107,377,108,-12,1927,151,858,442,229,15,2714,203,231,1222,450,38,183,185,,2018
Modena,26,99,1611,604,2291,140,434,141,-13,1726,159,683,516,299,21,2512,180,206,1263,503,43,208,210,,2018
Trento,26,95,1669,676,2248,167,406,176,-11,1617,118,612,468,289,22,2406,153,176,1263,525,46,239,252,,2018
Sora,26,102,1510,522,2197,161,354,158,-9,1872,168,801,507,271,18,2579,204,223,1175,456,38,174,171,,2018
Padova,26,97,1534,584,2206,144,392,148,-11,1748,183,711,489,280,18,2386,176,241,1176,493,42,214,221,,2018
Ravenna,26,98,1488,542,2147,131,366,134,-11,1806,185,842,353,195,9,2497,187,221,1156,463,39,201,205,,2018
Perugia,26,92,1587,657,2183,245,473,266,-10,1499,160,673,315,210,10,2018,128,150,1159,574,51,183,199,,2018
Lube,26,93,1567,645,2191,172,368,185,-9,1530,158,652,358,234,13,2166,157,160,1176,543,47,219,235,,2018
Piacenza Copra,26,107,1725,647,2389,142,439,133,-12,1915,167,878,440,230,14,2670,231,181,1330,498,41,253,236,,2017
Trento,26,102,1686,635,2342,157,495,154,-14,1803,151,788,453,251,17,2564,179,223,1292,504,43,237,232,,2017
Modena,26,100,1648,639,2349,137,370,137,-10,1724,129,699,486,282,21,2592,175,228,1286,496,43,225,225,,2017
Cisterna Top Volley,26,102,1494,486,2220,105,384,103,-13,1893,180,829,499,264,17,2578,147,252,1172,455,40,217,213,,2017
Verona,26,100,1624,617,2275,173,396,173,-10,1848,148,884,380,206,13,2687,196,199,1251,466,39,200,200,,2017
Vibo Valentia,26,101,1482,481,2123,120,430,119,-15,1924,169,824,474,246,16,2549,212,235,1161,455,37,201,199,,2017
Padova,26,97,1551,550,2171,145,423,149,-13,1826,189,795,464,254,15,2444,212,197,1194,489,40,212,219,,2017
Monza,26,101,1533,542,2198,137,394,136,-12,1856,188,818,468,252,15,2528,175,224,1179,466,40,217,215,,2017
Milano,26,100,1600,624,2273,181,463,181,-12,1768,171,857,352,199,10,2476,159,218,1196,483,42,223,223,,2017
Ravenna,26,94,1501,552,2123,186,439,198,-12,1741,148,757,396,227,14,2472,224,174,1160,469,38,155,165,,2017
Lube,26,94,1608,665,2219,182,450,194,-12,1566,128,596,500,319,24,2212,144,179,1204,544,48,222,236,,2017
Sora,26,94,1354,428,2015,119,398,127,-14,1822,205,846,402,221,11,2365,194,235,1110,469,39,125,133,,2017
Perugia,26,88,1549,678,2124,185,373,210,-9,1453,119,620,395,272,19,2141,179,136,1136,531,45,228,259,,2017
Castellana Grotte New Mater,26,92,1260,405,1918,87,322,95,-12,1798,209,702,528,294,18,2344,200,207,996,425,34,177,192,,2017
Piacenza Copra,26,104,1691,607,2356,142,477,137,-14,1953,191,806,696,356,26,2539,236,237,1303,513,42,246,237,,2016
Cisterna Top Volley,26,102,1547,501,2257,99,335,97,-10,1923,197,796,493,256,15,2495,199,230,1213,486,41,235,230,,2016
Ravenna,26,100,1615,582,2276,111,405,111,-13,1845,203,787,445,241,13,2514,210,245,1267,504,42,237,237,,2016
Vibo Valentia,26,103,1567,546,2284,147,359,143,-9,1962,186,829,550,280,19,2651,187,254,1213,458,39,207,201,,2016
Modena,26,101,1645,636,2329,197,485,195,-12,1771,172,720,516,291,19,2454,169,242,1237,504,44,211,209,,2016
Molfetta,26,102,1559,559,2215,168,425,165,-12,1904,182,843,505,265,17,2522,235,216,1195,474,38,196,192,,2016
Lube,26,98,1680,706,2292,175,462,179,-13,1564,144,607,470,301,21,2250,149,168,1280,569,50,225,230,,2016
Milano,26,95,1389,434,2051,118,439,124,-16,1842,181,837,435,236,14,2385,177,237,1107,464,39,164,173,,2016
Monza,26,97,1478,524,2122,140,397,144,-12,1786,183,709,541,303,20,2434,168,207,1143,470,40,195,201,,2016
Trento,26,94,1549,601,2169,146,437,155,-13,1602,148,662,456,285,19,2274,191,184,1181,519,44,222,236,,2016
Perugia,26,98,1588,650,2275,166,419,169,-11,1608,165,619,479,298,20,2225,166,139,1183,532,46,239,244,,2016
Sora,26,98,1407,477,2124,129,398,132,-13,1833,202,834,425,232,12,2317,189,213,1087,469,39,191,195,,2016
Padova,26,99,1450,522,2148,148,461,149,-15,1849,201,757,521,282,17,2469,188,250,1098,445,37,204,206,,2016
Verona,26,91,1496,572,2089,117,386,129,-13,1649,157,841,387,235,14,2304,170,179,1151,500,43,228,251,,2016
